osd_id,sample_id
OSD-488,FViv15_ta
OSD-488,CC11_ta
OSD-488,CC12_ta
OSD-488,CC13_ta
OSD-488,CC15_ta
OSD-488,CC16_ta
OSD-489,B1_m1_L4
OSD-489,B2_m2_L4
OSD-489,B3_m3_L4
OSD-489,B4_m4_L4
OSD-489,B5_m5_L4
OSD-489,B6_m6_L4
OSD-489,B7_m7_L4
OSD-489,B8_m8_L4
OSD-489,B9_m9_L4
OSD-489,B10_m10_L4
OSD-489,VIV1_m11_L4
OSD-489,VIV2_m12_L4
OSD-489,VIV3_m13_L4
OSD-489,VIV4_m14_L4
OSD-489,VIV5_m15_L4
OSD-489,VIV6_m16_L4
OSD-489,VIV7_m17_L4
OSD-489,VIV8_m18_L4
OSD-489,VIV9_m19_L4
OSD-489,VIV10_m20_L4
OSD-489,FLT1_m21_L4
OSD-489,FLT2_m22_L4
OSD-489,FLT3_m23_L4
OSD-489,FLT5_m25_L4
OSD-489,FLT6_m26_L4
OSD-489,FLT7_m27_L4
OSD-489,FLT9_m29_L4
OSD-489,FLT10_m30_L4
OSD-489,GC1_m31_L4
OSD-489,GC2_m32_L4
OSD-489,GC3_m33_L4
OSD-489,GC5_m35_L4
OSD-489,GC6_m36_L4
OSD-489,GC7_m37_L4
OSD-489,GC8_m38_L4
OSD-489,GC9_m39_L4
OSD-489,GC10_m40_L4
