osd,source_name,sample_name,organism,material_type,measurement_types,technology_types,device_platforms,data_files
OSD-100,RR1_FLT_M23,Mmus_C57-6J_EYE_FLT_Rep1_M23,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M23-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M23-EYE.tar.gz
OSD-100,RR1_FLT_M24,Mmus_C57-6J_EYE_FLT_Rep2_M24,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M24-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M24-EYE.tar.gz
OSD-100,RR1_FLT_M25,Mmus_C57-6J_EYE_FLT_Rep3_M25,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M25-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M25-EYE.tar.gz
OSD-100,RR1_FLT_M26,Mmus_C57-6J_EYE_FLT_Rep4_M26,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M26-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M26-EYE.tar.gz
OSD-100,RR1_FLT_M27,Mmus_C57-6J_EYE_FLT_Rep5_M27,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M27-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M27-EYE.tar.gz
OSD-100,RR1_FLT_M28,Mmus_C57-6J_EYE_FLT_Rep6_M28,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M28-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M28-EYE.tar.gz
OSD-101,RR1_GC_M33,Mmus_C57-6J_GST_GC_Rep1_M33,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M33-GST.tar.gz | GLDS-101_wtbs_N7_TAGCTT_L008_R1_001.fastq.gz | GLDS-101_wgbs_M33-GST-wgbs.tar.gz
OSD-101,RR1_GC_M34,Mmus_C57-6J_GST_GC_Rep2_M34,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M34-GST.tar.gz | GLDS-101_wtbs_N8_CTTGTA_L008_R1_001.fastq.gz | GLDS-101_wgbs_M34-GST-wgbs.tar.gz
OSD-101,RR1_GC_M35,Mmus_C57-6J_GST_GC_Rep3_M35,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M35-GST.tar.gz | GLDS-101_wtbs_N9_CGATGT_L007_R1_001.fastq.gz | GLDS-101_wgbs_M35-GST-wgbs.tar.gz
OSD-101,RR1_GC_M36,Mmus_C57-6J_GST_GC_Rep4_M36,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M36-GST.tar.gz | GLDS-101_wtbs_N10_TGACCA_L007_R1_001.fastq.gz | GLDS-101_wgbs_M36-GST-wgbs.tar.gz
OSD-101,RR1_GC_M37,Mmus_C57-6J_GST_GC_Rep5_M37,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M37-GST.tar.gz | GLDS-101_wtbs_N11_ACAGTG_L007_R1_001.fastq.gz | GLDS-101_wgbs_M37-GST-wgbs.tar.gz
OSD-101,RR1_GC_M38,Mmus_C57-6J_GST_GC_Rep6_M38,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M38-GST.tar.gz | GLDS-101_wtbs_N12_GCCAAT_L007_R1_001.fastq.gz | GLDS-101_wgbs_M38-GST-wgbs.tar.gz
